Simulation	B	(B_variance)^(1/2)	Tvalue
380	0.000474103	0.00499833	0.0948522
381	0.00452909	0.00496716	0.911807
382	-0.000729237	0.00461372	-0.158058
383	-0.00106814	0.00476441	-0.224192
384	-0.000791535	0.00435156	-0.181897
385	-0.000961482	0.00486569	-0.197604
386	0.00428966	0.00482679	0.888718
387	-0.00152376	0.00464291	-0.32819
388	-0.000806021	0.00456274	-0.176653
389	0.000382388	0.00437913	0.0873206
390	-0.000708419	0.00537767	-0.131734
391	-3.18143e-005	0.0049035	-0.00648807
392	-0.000468812	0.00465137	-0.10079
393	-0.00168251	0.00463691	-0.362851
394	-0.00108629	0.00452617	-0.240003
395	-0.000546823	0.00467257	-0.117028
396	-0.00156399	0.00496378	-0.31508
397	-0.00132317	0.0047333	-0.279545
398	0.000242368	0.00476615	0.0508521
399	-0.000506352	0.00451877	-0.112055
400	-0.00109431	0.00503347	-0.217406
401	0.0133845	0.00526287	2.5432
402	-0.00122075	0.00464091	-0.263042
403	-0.00107267	0.00507131	-0.211518
404	9.45819e-005	0.00447422	0.0211393
405	-0.00114546	0.00455042	-0.251726
406	0.000911462	0.0048363	0.188463
407	0.00187737	0.00518209	0.362281
408	-0.000862197	0.0045195	-0.190772
409	-0.00107878	0.00435353	-0.247795
410	-0.00140297	0.00457689	-0.306535
411	-0.000728177	0.00457689	-0.159099
412	-0.000790526	0.0049363	-0.160145
413	-0.000882893	0.00486087	-0.181633
414	-0.001228	0.00465136	-0.264008
415	-0.00134024	0.00460744	-0.290885
416	0.0035444	0.00463729	0.764326
417	-0.00129946	0.00511359	-0.254119
418	-0.00133651	0.00461155	-0.289817
419	0.00324537	0.00487468	0.66576
420	-0.000617064	0.0050406	-0.122419
421	-0.000296857	0.00425158	-0.0698228
422	0.00110112	0.00469978	0.234292
423	-0.00106244	0.00448984	-0.236631
424	0.000239629	0.00486018	0.0493046
425	-0.000640929	0.00428025	-0.149741
426	0.000665709	0.00496233	0.134153
427	0.00203162	0.00462637	0.439139
428	-0.00132367	0.00493151	-0.268411
429	0.000624435	0.00467482	0.133574
430	-0.00187738	0.0046604	-0.402836
431	-0.00177455	0.00460841	-0.385066
432	0.00170402	0.0052189	0.32651
433	-0.000373042	0.00449619	-0.0829685
434	-0.00081119	0.00464532	-0.174625
435	0.000578053	0.0045595	0.12678
436	-0.000619173	0.00489411	-0.126514
437	-0.000496279	0.00499734	-0.0993087
438	-0.00139521	0.00460842	-0.302753
439	0.00153322	0.00451839	0.339329
440	-0.00144611	0.00455211	-0.31768
441	0.00044102	0.00449039	0.0982142
442	-0.00082952	0.00501334	-0.165463
443	-0.00120934	0.00460744	-0.262476
444	-0.000619582	0.00468799	-0.132164
445	0.00581646	0.00487116	1.19406
