Simulation	B	(B_variance)^(1/2)	Tvalue
190	0.00219139	0.00479492	0.457023
191	0.0019177	0.00454909	0.421557
192	0.000857019	0.00437997	0.195668
193	-0.00659065	0.00510555	-1.29088
194	0.00205302	0.00448965	0.457279
195	-3.4891e-005	0.00455666	-0.00765715
196	-0.003762	0.00466826	-0.805869
197	0.00109684	0.00458497	0.239225
198	0.000587756	0.00475127	0.123705
199	-0.00605453	0.00458064	-1.32177
200	-0.0072155	0.00501322	-1.43929
201	0.00164669	0.00468799	0.351257
202	0.001993	0.00449855	0.443033
203	0.00246988	0.00496231	0.497727
204	-0.00176453	0.00503804	-0.350241
205	0.000469355	0.00466829	0.100541
206	0.00229009	0.00435155	0.526271
207	0.00218404	0.00469853	0.464835
208	-0.0103951	0.00424977	-2.44603
209	0.00238652	0.00479602	0.497605
210	0.0006307	0.00499734	0.126207
211	0.000566471	0.00486362	0.116471
212	0.00195156	0.00500356	0.390034
213	0.00142852	0.00489645	0.291747
214	-0.0022657	0.00455246	-0.497687
215	0.00190571	0.0045206	0.42156
216	0.00021882	0.00480489	0.0455412
217	0.00113928	0.00514749	0.221328
218	-0.0014455	0.00470103	-0.307486
219	-0.00487827	0.00466823	-1.04499
220	0.0021737	0.00451949	0.480961
221	0.00215456	0.00429896	0.501183
222	-0.00198346	0.00473755	-0.418668
223	0.00207671	0.00463811	0.44775
224	0.00196372	0.00463811	0.423388
225	0.00226167	0.00479602	0.471572
226	0.00216111	0.00458072	0.471784
227	-0.00161006	0.0049035	-0.328349
228	-0.00125427	0.00456274	-0.274895
229	0.00132796	0.0045595	0.291252
230	0.0020744	0.0047333	0.438257
231	0.00204096	0.0045206	0.45148
232	-0.00125755	0.0049672	-0.253171
233	0.00241438	0.00469853	0.513859
234	-0.0037679	0.00460682	-0.817896
235	-0.00421435	0.00454755	-0.926728
236	0.000645542	0.0041966	0.153825
237	0.000884988	0.00509511	0.173693
238	-0.00609096	0.00457795	-1.3305
239	-0.0129501	0.00453134	-2.8579
240	-0.00207838	0.00482972	-0.430332
241	0.00077832	0.00458073	0.169912
242	-0.000687936	0.0052971	-0.12987
243	0.000614857	0.00447745	0.137323
244	-0.00531703	0.00500625	-1.06208
245	-0.000269034	0.00469896	-0.0572541
246	0.00110076	0.00451876	0.243598
247	-0.00102096	0.00463931	-0.220067
248	0.00198326	0.00432634	0.458415
249	-0.00704527	0.004552	-1.54773
250	-1.62059e-005	0.00460686	-0.00351778
251	-0.0242573	0.00479467	-5.05922
252	0.00188278	0.00463811	0.405937
253	0.00159395	0.00443772	0.359182
254	0.000744723	0.00452617	0.164537
255	-0.0047456	0.00484717	-0.979045
256	-0.00343461	0.00463929	-0.740332
257	-0.00132866	0.0049068	-0.270779
258	0.00174332	0.00489364	0.356243
259	-1.57906e-005	0.00492792	-0.00320431
260	0.00233898	0.0046381	0.504297
261	0.00212534	0.00466828	0.455273
262	0.00251813	0.00489363	0.514573
263	0.00232507	0.00482682	0.481698
264	0.000752675	0.00464091	0.162183
265	-0.000806465	0.00437913	-0.184161
266	0.00249205	0.0050713	0.491402
267	0.00237758	0.0048941	0.485805
268	0.000754542	0.0047027	0.160449
269	0.00234576	0.00497531	0.471481
270	0.00133752	0.00463811	0.288376
271	0.00251737	0.00490679	0.513037
272	0.00153018	0.00469978	0.325585
273	-0.0132766	0.00537731	-2.46901
274	-0.00022255	0.00461628	-0.0482098
275	0.000976118	0.00466747	0.209132
276	-0.000149329	0.00463931	-0.0321878
277	0.00228332	0.00482682	0.473048
278	-0.00121055	0.00480823	-0.251766
279	0.00253088	0.0049315	0.513208
280	0.00224971	0.00457726	0.491497
281	-0.00172668	0.0048005	-0.359687
282	0.000438473	0.00507002	0.0864835
283	-0.010534	0.00469869	-2.2419
284	0.00221662	0.00475579	0.466089
285	0.00210541	0.0049363	0.426516
286	0.00173499	0.00463811	0.374073
287	0.00166545	0.00422176	0.394491
288	0.00193682	0.0044635	0.433924
289	-0.000360248	0.00430339	-0.0837124
290	-0.0102269	0.0051086	-2.0019
291	0.00167064	0.00455041	0.36714
292	0.00229188	0.00466746	0.491033
293	0.0020114	0.00462637	0.434769
294	-0.000544657	0.00429865	-0.126704
295	0.00198761	0.00503296	0.394918
296	0.000855386	0.00493943	0.173175
297	0.00243176	0.00465135	0.522807
298	0.00147304	0.00463811	0.317595
299	0.00222549	0.00479602	0.464028
300	0.00123797	0.00455212	0.271955
301	0.00131879	0.00463731	0.284386
302	0.000672201	0.00443493	0.15157
303	-0.00754731	0.00455028	-1.65865
304	0.000297161	0.00451951	0.0657507
305	0.00263466	0.00546168	0.48239
306	0.000354728	0.00510565	0.0694776
307	0.00110165	0.00489645	0.22499
308	0.00108513	0.00451876	0.240138
309	-0.000723248	0.00455212	-0.158882
310	0.00228866	0.00451174	0.507267
311	0.00252371	0.00496719	0.508076
312	0.00132657	0.004655	0.284977
313	-0.00639133	0.00441081	-1.44902
314	0.00207624	0.00440578	0.471254
315	-0.000392759	0.00503348	-0.0780295
316	0.00155165	0.0044068	0.352102
317	0.00220674	0.00506897	0.435343
318	0.00150945	0.00460842	0.327541
319	0.00225865	0.00455949	0.495373
320	0.00212884	0.00429959	0.495127
321	-0.015189	0.0049274	-3.08256
322	0.00222453	0.00494715	0.44966
323	0.00155846	0.00481202	0.323869
324	-0.00239287	0.0043892	-0.545171
325	-0.00144416	0.00525749	-0.274686
326	0.00202407	0.00441537	0.458415
327	0.00213019	0.0047333	0.450044
328	-0.000769412	0.00496379	-0.155005
329	0.000654413	0.00457804	0.142946
330	0.000743749	0.00457727	0.162487
331	0.00163849	0.00440612	0.371866
332	-0.00168495	0.00440783	-0.382263
333	0.000831009	0.00486569	0.170789
334	-0.0068861	0.00461913	-1.49078
335	-0.00592247	0.00460712	-1.2855
336	-0.00119534	0.00452209	-0.264333
337	0.00250839	0.00493365	0.508424
338	-0.0017325	0.00439209	-0.39446
339	-0.000198411	0.00486087	-0.040818
340	0.00198136	0.00457803	0.432797
341	-0.000578914	0.00455042	-0.127222
342	0.00177052	0.00489504	0.361698
343	0.00233256	0.00486017	0.479935
344	0.0017907	0.00408897	0.437933
345	0.00207984	0.00460743	0.451411
346	0.00182928	0.00473076	0.386678
347	0.000283808	0.00489364	0.0579953
348	0.00219284	0.00432554	0.506952
349	-8.01771e-005	0.00449856	-0.0178228
350	0.000569808	0.00461233	0.12354
351	-0.000624014	0.00473182	-0.131876
352	-0.00155532	0.00471357	-0.329966
353	0.00248977	0.005036	0.494394
354	0.000803705	0.00486087	0.165342
355	0.00226799	0.00454815	0.498663
356	0.00127144	0.00464091	0.273964
357	0.00229298	0.00457726	0.500951
358	-1.04257e-005	0.00460666	-0.00226319
359	-0.00176986	0.00476311	-0.371577
360	0.00140387	0.00424701	0.330555
361	0.00265511	0.00525748	0.505015
362	0.00255346	0.0051427	0.496521
363	0.00165651	0.00493366	0.335757
364	0.00193075	0.0050074	0.385578
365	-0.00538929	0.0047307	-1.13922
366	0.00202899	0.00475579	0.426637
367	0.0011208	0.00471357	0.237782
368	0.00151551	0.00510564	0.29683
369	0.00172113	0.00417194	0.412547
370	0.00188523	0.00448984	0.419889
371	0.00160323	0.00449419	0.356735
372	0.00247701	0.00496231	0.499165
373	-0.0121017	0.00445424	-2.71689
374	0.00102136	0.00493366	0.207018
375	0.00118949	0.00482818	0.246365
376	-0.00449675	0.00462519	-0.97223
377	0.00231629	0.00469894	0.492938
378	0.00221969	0.00460684	0.481824
379	0.00225076	0.00463055	0.486067
380	-0.00161968	0.00499832	-0.324044
381	-0.00853089	0.00496704	-1.7175
382	0.0010071	0.00461372	0.218283
383	0.00216453	0.00476441	0.454313
384	0.00151223	0.00435155	0.347514
385	0.00220815	0.00486568	0.453822
386	-0.00754262	0.0048267	-1.56269
387	0.00235321	0.0046429	0.506841
388	0.00215793	0.00456273	0.472946
389	-0.000633539	0.00437913	-0.144672
390	0.00122766	0.00537767	0.228288
391	0.000917432	0.0049035	0.187097
392	0.00145059	0.00465136	0.311863
393	0.00224813	0.00463691	0.484833
394	0.00223463	0.00452616	0.493714
395	0.00213608	0.00467256	0.457154
396	0.0025495	0.00496377	0.513622
397	0.0021416	0.0047333	0.452455
398	-0.000343906	0.00476615	-0.0721561
399	0.00014787	0.00451877	0.0327236
400	0.00221897	0.00503346	0.440844
401	-0.02368	0.00526206	-4.50014
402	0.00180641	0.00464091	0.389236
403	0.00226044	0.0050713	0.445732
404	-0.000463069	0.00447422	-0.103497
405	0.00175285	0.00455041	0.385207
406	-0.00187943	0.0048363	-0.38861
407	-0.00437489	0.00518205	-0.844238
408	0.00216318	0.00451949	0.478634
409	0.00189156	0.00435352	0.434489
410	0.00211412	0.00457688	0.461912
411	0.00132564	0.00457689	0.289637
412	0.00224797	0.00493629	0.455397
413	0.00185736	0.00486086	0.382104
414	0.00225774	0.00465135	0.485395
415	0.00173229	0.00460744	0.375976
